source_id,source_title,source_url,publisher,access_date,source_type,reliability_level,raw_file_path,notes,_agent_dir
MOE_UNDERGRAD_2018,教育部关于公布2018年度普通高等学校本科专业备案和审批结果的通知附件,https://hudong.moe.gov.cn/srcsite/A08/moe_1034/s4930/201903/W020190329560198491315.docx,中华人民共和国教育部,2026-05-17,本科专业备案审批结果,A,,父页面 https://hudong.moe.gov.cn/srcsite/A08/moe_1034/s4930/201903/t20190329_376012.html；当前阶段未下载原始附件,E1_conservative
MOE_UNDERGRAD_2019,教育部关于公布2019年度普通高等学校本科专业备案和审批结果的通知附件,http://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202003/W020200303365402032446.pdf,中华人民共和国教育部,2026-05-17,本科专业备案审批结果,A,,父页面 http://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202003/t20200303_426853.html；当前阶段未下载原始附件,E1_conservative
MOE_UNDERGRAD_2020,教育部关于公布2020年度普通高等学校本科专业备案和审批结果的通知附件,http://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202103/W020210302545152199812.xls,中华人民共和国教育部,2026-05-17,本科专业备案审批结果,A,,父页面 http://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202103/t20210301_516076.html；当前阶段未下载原始附件,E1_conservative
MOE_UNDERGRAD_2021,教育部关于公布2021年度普通高等学校本科专业备案和审批结果的通知附件,http://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202202/W020220228600206028276.pdf,中华人民共和国教育部,2026-05-17,本科专业备案审批结果,A,,父页面 http://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202202/t20220224_602135.html；当前阶段未下载原始附件,E1_conservative
MOE_UNDERGRAD_2022,教育部关于公布2022年度普通高等学校本科专业备案和审批结果的通知附件,http://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202304/W020230419336779647503.pdf,中华人民共和国教育部,2026-05-17,本科专业备案审批结果,A,,父页面 http://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202304/t20230419_1056224.html；当前阶段未下载原始附件,E1_conservative
MOE_UNDERGRAD_2023,教育部关于公布2023年度普通高等学校本科专业备案和审批结果的通知附件,https://hudong.moe.gov.cn/srcsite/A08/moe_1034/s4930/202403/W020240319305498774149.pdf,中华人民共和国教育部,2026-05-17,本科专业备案审批结果,A,,父页面 https://hudong.moe.gov.cn/srcsite/A08/moe_1034/s4930/202403/t20240319_1121111.html；当前阶段未下载原始附件,E1_conservative
MOE_UNDERGRAD_2024,教育部关于公布2024年度普通高等学校本科专业备案和审批结果附件,https://hudong.moe.gov.cn/srcsite/A08/moe_1034/s4930/202504/W020250422312780758186.pdf,中华人民共和国教育部,2026-05-17,本科专业备案审批结果,A,,父页面 https://hudong.moe.gov.cn/srcsite/A08/moe_1034/s4930/202504/t20250422_1188239.html；当前阶段未下载原始附件,E1_conservative
MOE_CATALOG_2026,教育部关于公布普通高等学校本科专业目录2026年的通知,http://www.moe.gov.cn/srcsite/A08/moe_1034/s3882/202604/t20260427_1434931.html,中华人民共和国教育部,2026-05-17,本科专业目录通知,A,,不是2025年度备案审批结果数据源；仅作为待定位2025年度结果的线索；附件 http://www.moe.gov.cn/srcsite/A08/moe_1034/s3882/202604/W020260427440749576927.pdf,E1_conservative
SRC_E2_SHARED_README,教育系统 E 指标数据采集规范,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\_shared\README_采集规范.md,论文数据采集团队,2026-05-17,本地共享规范,A,,用于统一字段和可靠性分级,E2_base
SRC_E2_METHOD_XLSX,AI三系统指标口径与数据采集方法_20260517.xlsx,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\04_数据变量与实证\AI三系统指标口径与数据采集方法_20260517.xlsx,论文指标口径表,2026-05-17,本地口径工作簿,A,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E2_base\raw\AI三系统指标口径与数据采集方法_20260517.xlsx,已读取03_教育E指标中E2基本口径定义,E2_base
SRC_MOE_MAJOR_2024_PAGE,2024年度普通高等学校本科专业备案和审批结果页面,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202504/t20250422_1188239.html,教育部,2026-05-17,教育部通知页面,A,,已定位附件链接但按用户要求停止继续下载和抽取,E2_base
